"FieldServiceMobileSettingsId","AppExtensionName","Type","LaunchValue","ScopedToObjectTypes","AppExtensionLabel","InstallationUrl"
"$SF_SR_VAR_MOBILE_SETTING_ID","Select Language","Flow","FS_Select_Service_Report_Language","WorkOrder","Select Language","/flow/FS_Select_Service_Report_Language"
"$SF_SR_VAR_MOBILE_SETTING_ID","Change SA Status","Flow","FSL_MobileAPP_Change_SA_Status","ServiceAppointment","Change SA Status","/flow/FSL_MobileAPP_Change_SA_Status"
"$SF_SR_VAR_MOBILE_SETTING_ID","Unit Search Bar","Flow","FSL_MobileAPP_Unit_search_bar","ServiceAppointment","Unit search bar","/flow/FSL_MobileAPP_Unit_search_bar"
"$SF_SR_VAR_MOBILE_SETTING_ID","Pin/Unpin SA","Flow","Change_Pinn_Service_Appointment","ServiceAppointment","Pin/Unpin Service Appointment","/flow/Change_Pinn_Service_Appointment"
"$SF_SR_VAR_MOBILE_SETTING_ID","Declare Parts Missing","Flow","Declare_Parts_Missing_WO","WorkOrder","Declare Parts Missing","/flow/Declare_Parts_Missing_WO"
"$SF_SR_VAR_MOBILE_SETTING_ID","Unit Restart Time Form","Flow","Unit_Restart_Reason_FSL_Mobile_Flow","AssetDowntimePeriod","Projected Restart Date",
"$SF_SR_VAR_MOBILE_SETTING_ID","Update Unit Status","Flow","FSL_Mobile_Unit_Shutdown","Asset","Update Unit Status",
"$SF_SR_VAR_MOBILE_SETTING_ID","View Report","iOS","salesforce1://v1/sObject/$SF_SR_VAR_KPI_DASHBOARDS_MECHANICS_ID/view","ServiceAppointment","Open KPI Dashboards",
"$SF_SR_VAR_MOBILE_SETTING_ID","Service Appointment Building Contact","Flow","Service_Appointment_Building_Contact","ServiceAppointment","Service Appointment Building Contact",
"$SF_SR_VAR_MOBILE_SETTING_ID","Accept or Reject SA","Flow","SA_Accept_Reject_FSL_Flow","ServiceAppointment","Accept or Reject SA",
"$SF_SR_VAR_MOBILE_SETTING_ID","Update SA","Flow","Update_ETA","ServiceAppointment","Update SA",
"$SF_SR_VAR_MOBILE_SETTING_ID","Update Schedule Time","Flow","Updated_SA_Schedule_Time","ServiceAppointment","Update Schedule Time","/flow/Updated_SA_Schedule_Time"
"$SF_SR_VAR_MOBILE_SETTING_ID","Passenger Release","Flow","FSL_Passenger_Released_Flow","ServiceAppointment","Passenger Release",
"$SF_SR_VAR_MOBILE_SETTING_ID","Add New Building Contact","Flow","New_Building_Contact_Information","Location","Add New Building Contact",
"$SF_SR_VAR_MOBILE_SETTING_ID","Create_WO_for_Repair_Detection","Flow","Create_WO_for_Repair_Detection","WorkOrder","Create WO for Repair Detection","/flow/Create_WO_for_Repair_Detection"
"$SF_SR_VAR_MOBILE_SETTING_ID","Add Image on WO","Flow","Add_Image_on_WorkOrder","WorkOrder","Add Image on WO","/flow/Add_Image_on_WorkOrder"
"$SF_SR_VAR_MOBILE_SETTING_ID","Time Sheet Entry Update","Flow","Time_Sheet_Entry_Update","ServiceAppointment","Update Time Sheet Entry","/flow/Time_Sheet_Entry_Update"
"$SF_SR_VAR_MOBILE_SETTING_ID","Add/Delete Expenses","Flow","FS_Expense_Submission_Flow","WorkOrder","Add/Delete Expenses",
"$SF_SR_VAR_MOBILE_SETTING_ID","Create new SA","Flow","Create_new_SA","WorkOrder","Create new SA",
"$SF_SR_VAR_MOBILE_SETTING_ID","Create_WO_for_Repair_Detection_1","Flow","Create_WO_for_Repair_Detection","Asset","Create Work Order for Repair","/flow/Create_WO_for_Repair_Detection"
"$SF_SR_VAR_MOBILE_SETTING_ID","Expense","Flow","FS_Expense_Submission_Flow","ResourceAbsence","Add/Delete Expense","/flow/FS_Expense_Submission_Flow"
"$SF_SR_VAR_MOBILE_SETTING_ID","Submit/Recall T&E","Flow","Submit_Recall_T_E","ServiceAppointment","Submit/Recall T&E",