Category__c,Department__c,Description__c,Id,Name
,NE,WK14 SZ/ACCESS ALERT-NE,a2hDD000003OBpiYAG,99216
,NE,WK20 SZ/LESN LERND/SPRAINS-NE,a2hDD000003OBpjYAG,99217
,NE,WK35 SZ/FALL PROTECTION-NE,a2hDD000003OBpkYAG,99218
,NE,WK09 SZ/MAN HANDLG OF MATL-NE,a2hDD000003OBplYAG,99219
,NE,WK31 SZ/HAZARD COMM STDS-NE,a2hDD000003OBpmYAG,99220
,NE,WK34 SZ/NEAR MISS RPTING-NE,a2hDD000003OBpnYAG,99221
,NE,WK08 SZ/LESN LERND/CAR TOP-NE,a2hDD000003OBpoYAG,99222
,NE,WK07 SZ/WORKING IN THE PIT-NE,a2hDD000003OBppYAG,99223
,NE,WK30 SZ/STOR&DISP OF WASTE-NE,a2hDD000003OBpqYAG,99224
,NE,WK25 SZ/ELEC SAFE WORK PRAC-NE,a2hDD000003OBprYAG,99225
,NE,WK27 SZ/MULTI-METER SAFETY-NE,a2hDD000003OBpsYAG,99226
,NE,WK19 SZ/HEAT STRESS-NE,a2hDD000003OBptYAG,99227
,NE,WK37 SZ/MODERNIZATION-NE,a2hDD000003OBpuYAG,99228
,NE,WK15 SZ/EMP REMEMBRANCE-NE,a2hDD000003OBpvYAG,99229
,NE,WK39 SZ/OTIS SFTY/REPR TAB-NE,a2hDD000003OBpwYAG,99230
,NE,WK36 SZ/HOISTING & RIGGING-NE,a2hDD000003OBpxYAG,99231
,NE,WK49 SZ/GRINDER/LESN LERND-NE,a2hDD000003OBpyYAG,99232
,NE,WK03 SZ/CUT RESIST PPE-NE,a2hDD000003OBpzYAG,99233
,NE,WK17 SZ/VEH SAFETY/DIS DRVG-NE,a2hDD000003OBq0YAG,99234
,NE,WK51 SZ/BELT CLEANING-NE,a2hDD000003OBq1YAG,99235
,NE,WK40 SZ/FIRST-AID-NE,a2hDD000003OBq2YAG,99236
,NE,WK41 SZ/REGULATORY RQMTS-NE,a2hDD000003OBq3YAG,99237
,NE,WK29 SZ/WAREHOUSE INSP-NE,a2hDD000003OBq4YAG,99238
,NE,WK42 SZ/LADDER SAFETY-NE,a2hDD000003OBq5YAG,99239
,NE,WK06 SZ/WORK IN THE HWAY-NE,a2hDD000003OBq6YAG,99240
,NE,WK45 SZ/CAR TOP SAFETY-NE,a2hDD000003OBq7YAG,99241
,NE,WK44 SZ/FALL PROT CAR TOP-NE,a2hDD000003OBq8YAG,99242
,NE,WK18 SZ/FORKLIFTS-NE,a2hDD000003OBq9YAG,99243
,NE,WK04 SZ/RESPIRATORS-NE,a2hDD000003OBqAYAW,99244
,NE,WK23 SZ/PREC AGST FIRE-NE,a2hDD000003OBqBYAW,99245
,NE,WK22 SZ/LESN LERND/CRUSH-NE,a2hDD000003OBqCYAW,99246
,NE,WK43 SZ/LAND&MACH/LESN LRND-NE,a2hDD000003OBqDYAW,99247
,NE,WK47 SZ/ESCL OR MVING WALK-NE,a2hDD000003OBqEYAW,99248
,NE,WK16 SZ/DUMBWT & RES ELEV-NE,a2hDD000003OBqFYAW,99249
,NE,WK46 SZ/RUNNING PLATF RUN-NE,a2hDD000003OBqGYAW,99250
,NE,WK48 SZ/PORT ELEC/HAND TLS-NE,a2hDD000003OBqHYAW,99251
,NE,JAN-PPE-TRAINING-NE,a2hDD000003OBqIYAW,99252
,NE,MAR-JOB HAZD ASIS/HDSK COM-NE,a2hDD000003OBqJYAW,99253
,NE,"JUL-STRAINS,FRACT,LACER-NE",a2hDD000003OBqKYAW,99254
,NE,FEB-FATALITY PREV. AREAS-NE,a2hDD000003OBqLYAW,99255
,NE,JUN-ELEC SAFETY/ARC FLASH-NE,a2hDD000003OBqMYAW,99256
,NE,SEP-INDUSTRIAL HYGYN-NE,a2hDD000003OBqNYAW,99257
,NE,AUG-WASTE MGMT&HAZARD COM-NE,a2hDD000003OBqOYAW,99258
,NE,MAR-MATERIAL HANDLING-NE,a2hDD000003OBqPYAW,99259
,NE,MAY-VEHICLE SAFETY-NE,a2hDD000003OBqQYAW,99260
,NE,OCT-HOISTING & RIGGING-NE,a2hDD000003OBqRYAW,99261
,NE,NOV-FIR AID & BLOOD PATH-NE,a2hDD000003OBqSYAW,99262
,NE,DEC-POWER AND HAND TOOLS-NE,a2hDD000003OBqTYAW,99263
,NE,LOCAL INITIATIVES-NE,a2hDD000003OBqUYAW,99264
,NE,NEW HIRE-NE,a2hDD000003OBqVYAW,99265
,NE,G2S LOCKOUT&MANL RESCUE OP-NE,a2hDD000003OBqWYAW,99266
,NE,FORKLIFT-NE,a2hDD000003OBqXYAW,99267
,NE,SCAFFOLDING-NE,a2hDD000003OBqYYAW,99268
,NE,RESPIRATOR TRAINING-NE,a2hDD000003OBqZYAW,99269
,NE,APR-CONFINED SPACE-NE,a2hDD000003OBqaYAG,99270
,NE,WK24 SZ/ARC FLASH-NE,a2hDD000003OBqbYAG,99271
,NE,WASTE COORD./MANIFESTS-NE,a2hDD000003OBqcYAG,99272
,NE,HOISTING & RIGGING CERTIF.-NE,a2hDD000003OBqdYAG,99273
,NE,CRANE SIGNALING CERTIF.-NE,a2hDD000003OBqeYAG,99274
,NE,OSHA 10-HOUR CONST.-NE,a2hDD000003OBqfYAG,99275
,NE,OSHA 30-HOUR CONST.-NE,a2hDD000003OBqgYAG,99276
,NE,WK10 SZ/POWER MATE-NE,a2hDD000003OBqhYAG,99277
,NE,FIRST AID/CPR CERTIF.-NE,a2hDD000003OBqiYAG,99278
,NE,DOT MED COMP & PASSED-NE,a2hDD000003OBqjYAG,99279
,NE,RESP - FIT & MED CLEARED-NE,a2hDD000003OBqkYAG,99280
,NE,ROPE GRIPPER CORRECTIVE-NE,a2hDD000003OBqlYAG,99281
,NE,LOOK OUT FOR BIAS-NE,a2hDD000003OBqmYAG,99282
,NE,RETRAIN FALL PROTECTION-NE,a2hDD000003OBqnYAG,99290
,NE,RETRAIN CAR TOP ACCESS-NE,a2hDD000003OBqoYAG,99291
,NE,RETRAIN PIT ACCESS-NE,a2hDD000003OBqpYAG,99292
,NE,RETRAIN ELECTRICAL-NE,a2hDD000003OBqqYAG,99293
,NE,RETRAIN MECHANICAL-NE,a2hDD000003OBqrYAG,99294
,NE,RETRAIN HOIST & RIGGING-NE,a2hDD000003OBqsYAG,99295
,NE,RETRAIN SCAFFOLDING-NE,a2hDD000003OBqtYAG,99296
,NE,RETRAIN FALSE CARS/RUN PTFM-NE,a2hDD000003OBquYAG,99297
,NE,RETRAIN JUMPERS-NE,a2hDD000003OBqvYAG,99298
,NE,RETRAIN ALL FPA TOPICS-NE,a2hDD000003OBqwYAG,99299
Safety,Service,WK00 SZ/EHS VISION&VALUES-SER,a2hDD000003OBqxYAG,99300
Safety,Service,WK05 SZ/EMP RESP/CARD RULE-SER,a2hDD000003OBqyYAG,99301
Safety,Service,WK12 SZ/JOB HAZARD ANALYSIS-SER,a2hDD000003OBqzYAG,99302
Safety,Service,WK11 SZ/LESN LERND/RAILS-SER,a2hDD000003OBr0YAG,99303
Safety,Service,WK26 SZ/ELEC LOCKOUT/TAGOUT-SER,a2hDD000003OBr1YAG,99304
Safety,Service,WK02 SZ/PERS PROT EQUIP-SER,a2hDD000003OBr2YAG,99305
Safety,Service,WK33 SZ/DRUG TEST/SUBS ABS-SER,a2hDD000003OBr3YAG,99306
Safety,Service,WK01 SZ/JUMPER SAFETY-SER,a2hDD000003OBr4YAG,99307
Safety,Service,WK08 SZ/EMERG. EVAC PASSGR-SER,a2hDD000003OBr5YAG,99308
Safety,Service,WK50 SZ/LESN LERND/ROTAT EQ-SER,a2hDD000003OBr6YAG,99309
Safety,Service,WK21 SZ/BACK WELNESS-SER,a2hDD000003OBr7YAG,99310
Safety,Service,WK38 SZ/OVERHEAD PROT-SER,a2hDD000003OBr8YAG,99311
Safety,Service,WK12 SZ/LESN LERND/STOR ENER-SE,a2hDD000003OBr9YAG,99312
Safety,Service,WK28 SZ/SPG 113-SER,a2hDD000003OBrAYAW,99313
Safety,Service,WK13 SZ/PIT SAFETY-SER,a2hDD000003OBrBYAW,99314
Safety,Service,WK32 SZ/INDUSTRIAL HYGIENE-SER,a2hDD000003OBrCYAW,99315
Ethics Training,Service,SER ETHICS FUTURE USE#20,a2hDD000003OBtxYAG,99523
Ethics Training,Service,SER ETHICS FUTURE USE#21,a2hDD000003OBtyYAG,99524
,NE,NE ETHICS 1QT - COMPANY ASSETS,a2hDD000003OBtzYAG,99525
,NE,NE ETHICS 2QT - TBD,a2hDD000003OBu0YAG,99526
,NE,NE ETHICS 3QT - TBD,a2hDD000003OBu1YAG,99527
,NE,NE ETHICS 4QT - TBD,a2hDD000003OBu2YAG,99528
,NE,NE MOBILE COMPLIANCE ETHICS,a2hDD000003OBu3YAG,99529
,NE,NE MOBILE APPS ETHICS,a2hDD000003OBu4YAG,99530
,NE,NE SUPER ETHICS TALK 2021,a2hDD000003OBu5YAG,99531
,NE,NE PAUSE FOR OUR VALUES,a2hDD000003OBu6YAG,99532
,NE,NE CONSTR INCLUSION 2022,a2hDD000003OBu7YAG,99533
,NE,NE LIVING OUR ABSOLUTES ETHIC,a2hDD000003OBu8YAG,99534
,NE,NE ETHICS FUTURE USE #7,a2hDD000003OBu9YAG,99535
,NE,NE ETHICS FUTURE USE #8,a2hDD000003OBuAYAW,99536
,NE,NE ETHICS FUTURE USE #9,a2hDD000003OBuBYAW,99537
,NE,NE PROPRIETARY PROT TRNG 2022,a2hDD000003OBuCYAW,99538
,NE,NE FLD FOCUS FIRESD CHAT 2022,a2hDD000003OBuDYAW,99539
,NE,NE ETHICS FUTURE USE #12,a2hDD000003OBuEYAW,99540
,NE,NE ETHICS FUTURE USE #13,a2hDD000003OBuFYAW,99541
,NE,NE ETHICS FUTURE USE #14,a2hDD000003OBuGYAW,99542
,NE,NE ETHICS FUTURE USE #15,a2hDD000003OBuHYAW,99543
,NE,NE ETHICS FUTURE USE #16,a2hDD000003OBuIYAW,99544
,NE,NE ETHICS FUTURE USE #17,a2hDD000003OBuJYAW,99545
,NE,NE ETHICS FUTURE USE #18,a2hDD000003OBuKYAW,99546
,NE,NE ETHICS FUTURE USE #19,a2hDD000003OBuLYAW,99547
,NE,NE ETHICS FUTURE USE #20,a2hDD000003OBuMYAW,99548
,NE,NE ETHICS FUTURE USE #21,a2hDD000003OBuNYAW,99549
Misc,Service,AWARDS- USED BY PAYROLL,a2hDD000003OBnzYAG,99001
Misc,Service,PULSE TOOL EXPENSE,a2hDD000003OBo0YAG,99002
Vacation,Service,PTO HRS TAKEN W/PAY IF ELIG,a2hDD000003OBo1YAG,99003
,NE,HOLIDAY PAY-NE,a2hDD000003OBo2YAG,99005
Vacation,Service,HOLIDAY PAY-SERVICE,a2hDD000003OBo3YAG,99005A
Vacation,Service,VACATION PAY,a2hDD000003OBo4YAG,99006
Misc,NE,TRUCKING CHARGES,a2hDD000003OBo5YAG,99009
Misc,Service,L1 NY REQ PSL-SER,a2hDD000003OBo6YAG,99011
,NE,L1 NY REQ PSL-NE,a2hDD000003OBo7YAG,99012
,NE,ENGAGEMENT SURVEY-NE,a2hDD000003OBo8YAG,99013
Misc,Service,ENGAGEMENT SURVEY-SER,a2hDD000003OBo9YAG,99014
Misc,service,VERIFY ENG DEFECT,a2hDD000003OBoAYAW,99016
Misc,Service,FIELD VALIDATION SUPPORT,a2hDD000003OBoBYAW,99017
Quality,Service,QUALITY FIELD VALIDATION,a2hDD000003OBoCYAW,99018
,NE,HR TRAINING - NE,a2hDD000003OBoDYAW,99019
Misc,Service,HR TRAINING - SER,a2hDD000003OBoEYAW,99020
Misc,Service,US ST-MUNIC REQ PSL-SER,a2hDD000003OBoFYAW,99021
,NE,US ST-MUNIC REQ PSL-NE,a2hDD000003OBoGYAW,99022
Quality,Service,PRODUCT UPGRADE (PUI),a2hDD000003OBoHYAW,99030
Quality,Service,RES DOOR GAP WORK,a2hDD000003OBoIYAW,99031
Quality,Service,OSC FIELD TESTING,a2hDD000003OBoJYAW,99032
,NE,FLO NEB,a2hDD000003OBoKYAW,99048
Quality,Service,G2S PERFORMANCE SURVEY,a2hDD000003OBoLYAW,99049
,NE,TEMP CONST SUPT,a2hDD000003OBoMYAW,99051
Misc,Service,TEMP SERV SUPT,a2hDD000003OBoNYAW,99052
Misc,Service,LEGAL EXPENSE,a2hDD000003OBoOYAW,99054
Misc,Service,US OFFICES,a2hDD000003OBoPYAW,99056
Misc,Service,RETRO PAY SALES,a2hDD000003OBoQYAW,99057
Misc,Service,LOCAL REP,a2hDD000003OBoRYAW,99065
Misc,Service,LOCAL REP,a2hDD000003OBoSYAW,99065D
Misc,Service,LOCAL REP,a2hDD000003OBoTYAW,99065F
Misc,Service,MiscellaneousELLANEOUS-SERVICE,a2hDD000003OBoUYAW,99070
Misc,Service,VANCOUVER GOVT TESTING,a2hDD000003OBoVYAW,99100
,NE,TEMP EMPL - NE,a2hDD000003OBoWYAW,99101
Misc,Service,TEMP EMPL - SERV,a2hDD000003OBoXYAW,99102
Misc,Service,WALKING FOREMAN,a2hDD000003OBoYYAW,99104
Misc,Service,SERVICE SUPERVISORS-NAES,a2hDD000003OBoZYAW,99105
,NE,EDUC. TIME OFF-NE,a2hDD000003OBoaYAG,99106
Misc,Service,EDUC. TIME OFF-SERVICE,a2hDD000003OBobYAG,99107
Misc,Service,ALL SAFE PILOT,a2hDD000003OBocYAG,99108
Misc,Service,WWE SERVICE SYSTEM PROJECT,a2hDD000003OBodYAG,99109
,NE,ETHICS TRAINING-NE,a2hDD000003OBoeYAG,99110
Quality,Service,ETHICS TRAINING-SERVICE,a2hDD000003OBofYAG,99111
,NE,QUALITY TRAINING-NE,a2hDD000003OBogYAG,99112
Quality,Service,QUALITY TRAINING-SERVICE,a2hDD000003OBohYAG,99113
Misc,Service,DISASTER RECOVERY,a2hDD000003OBoiYAG,99115
Misc,Service,Miscellaneous CORRECTIVE INSTRUCTIONS,a2hDD000003OBojYAG,99116
Misc,Service,WAREHOUSE TEMPORARY HELP,a2hDD000003OBokYAG,99119
Misc,Service,STANDBY-CANADA,a2hDD000003OBolYAG,99120
Misc,Service,STANDBY-ALLIANCE,a2hDD000003OBomYAG,99121
Safety,Service,CUSTR SERV STAND DOWN TRAINING,a2hDD000003OBonYAG,99122
Safety,NE,CUSTR N/E  STAND DOWN TRAINING,a2hDD000003OBooYAG,99123
Misc,Service,CANADA-BEREAVEMENT LEAVE PAY,a2hDD000003OBopYAG,99125
,NE,COVID VACCINTN - NE,a2hDD000003OBoqYAG,99128
Misc,Service,COVID VACCINTN - SER,a2hDD000003OBorYAG,99129
,NE,HAZARDOUS WASTE-NE,a2hDD000003OBosYAG,99130
Safety,Service,HAZARDOUS WASTE-SERVICE,a2hDD000003OBotYAG,99131
,NE,COVID PAID LEAVE-NE,a2hDD000003OBouYAG,99132
Misc,Service,COVID PAID LEAVE-SER,a2hDD000003OBovYAG,99133
Misc,Service,ALLIANCE MEDICAL-DAY,a2hDD000003OBowYAG,99135
Misc,Service,BLOOMINGTON,a2hDD000003OBoxYAG,99136
Misc,Service,TPR/LOCAL-3 SICK PAY,a2hDD000003OBoyYAG,99137
Misc,Service,PUERTO RICO-ACCIDENT PAY,a2hDD000003OBozYAG,99138
Misc,Service,TPR/LOCAL-3 BEREAVEMENT,a2hDD000003OBp0YAG,99139
Misc,Service,PUERTO RICO-CHRISTMAS BONUS,a2hDD000003OBp1YAG,99140
,NE,RESTRICTED DUTY - NE,a2hDD000003OBp2YAG,99143
Misc,Service,RESTRICTED DUTY - SERVICE,a2hDD000003OBp3YAG,99144
Vacation,Service,VAC/PTO -HOURS TAKEN,a2hDD000003OBp4YAG,99145
,NE,COMMON DECENCY NE,a2hDD000003OBp5YAG,99150
Misc,Service,COMMON DECENCY SER,a2hDD000003OBp6YAG,99151
,NE,GOVT REQ HARASS TRNG NE,a2hDD000003OBp7YAG,99152
Misc,Service,GOVT REQ HARASS TRNG SER,a2hDD000003OBp8YAG,99153
Quality,Service,OTIS ONE FIELD TRIAL-PILOT,a2hDD000003OBp9YAG,99160
Quality,Service,OM REM COST,a2hDD000003OBpAYAW,99166
Safety,Service,SAFETY UPGRADES MAINTENANCE,a2hDD000003OBpBYAW,99167
Quality,Service,CANADA ADJUSTING PILOT,a2hDD000003OBpCYAW,99168
Safety,Service,SAFETY INITIATIVES,a2hDD000003OBpDYAW,99174
Safety,Service,MACHINE GUARD INITIATIVES,a2hDD000003OBpEYAW,99175
Misc,Service,INTERCO. TUCSON-NOGALES,a2hDD000003OBpFYAW,99176
Misc,Service,AMERICAN CRUISE LINE,a2hDD000003OBpGYAW,99177
Misc,Service,GNY TRAVEL TO HOME     COST,a2hDD000003OBpHYAW,99178
,NE,JURY DUTY EXP-NE   COST,a2hDD000003OBpIYAW,99186
Misc,Service,JURY DUTY EXP-SERV COST,a2hDD000003OBpJYAW,99187
Misc,Service,BUSINESS PRACTIVES-SERVICE,a2hDD000003OBpKYAW,99188
,NE,BUSINESS PRACTICES-NE,a2hDD000003OBpLYAW,99189
Misc,Service,BLM-INTERCO-CONST/FIELD SUPPORT,a2hDD000003OBpMYAW,99190
Misc,Service,ALLIANCE-PERSONAL DAY,a2hDD000003OBpNYAW,99191
Safety,Service,HV GUARDING,a2hDD000003OBpOYAW,99192
Misc,Service,MMR GRIEVANCE PAYMENT,a2hDD000003OBpPYAW,99193
Safety,Service,MANDATORY EH&S RETROFIT,a2hDD000003OBpQYAW,99195
,NE,GEN3CORE AUTMD TEST VALIDTN-NE,a2hDD000003OBpRYAW,99196
,NE,WK00 SZ/EHS VISION&VALUES-NE,a2hDD000003OBpSYAW,99200
,NE,WK05 SZ/EMP RESP/CARD RULE-NE,a2hDD000003OBpTYAW,99201
